,station_number,wban_number,year,month,day,mean_temp,num_mean_temp_samples,mean_dew_point,num_mean_dew_point_samples,mean_sealevel_pressure,num_mean_sealevel_pressure_samples,mean_station_pressure,num_mean_station_pressure_samples,mean_visibility,num_mean_visibility_samples,mean_wind_speed,num_mean_wind_speed_samples,max_sustained_wind_speed,max_gust_wind_speed,max_temperature,max_temperature_explicit,min_temperature,min_temperature_explicit,total_precipitation,snow_depth,fog,rain,snow,hail,thunder,tornado
437,67560,99999,2001,7,13,65.1999969482,23,59.9000015259,23.0,1012.0,23.0,949.299987793,23.0,,,1.79999995232,23.0,5.09999990463,,59.7000007629,False,,,0.0,,False,False,False,False,False,False
438,40180,16201,1981,1,24,22.3999996185,24,14.8000001907,24.0,1006.79998779,24.0,999.299987793,24.0,7.0,24.0,9.30000019073,24.0,17.1000003815,,16.0,True,,,0.0,,False,False,False,False,False,False
439,718280,99999,1983,4,14,9.0,23,-3.0,23.0,1034.5,23.0,967.099975586,23.0,14.8999996185,23.0,10.8999996185,23.0,22.0,30.8999996185,-17.0,False,,,0.0,29.1000003815,False,False,False,False,False,False
440,26400,99999,1990,11,13,36.2000007629,8,34.7000007629,8.0,1022.90002441,8.0,,,5.59999990463,8.0,1.5,8.0,1.89999997616,,27.2999992371,False,,,0.0,,True,True,True,True,True,True
441,789250,99999,1996,12,10,77.1999969482,24,73.0999984741,24.0,1014.20001221,8.0,,,7.90000009537,24.0,4.0,24.0,8.0,,71.5999984741,True,,,0.280000001192,,False,False,False,False,False,False
442,622120,99999,1995,9,22,100.400001526,4,33.0999984741,4.0,,,936.200012207,4.0,12.3999996185,4.0,7.19999980927,4.0,9.89999961853,,96.8000030518,True,,,0.0,,False,False,False,False,False,False
443,726685,99999,2008,3,2,36.7999992371,23,26.2000007629,23.0,1005.09997559,21.0,,,9.69999980927,23.0,17.2999992371,23.0,27.0,37.9000015259,32.0,False,,,0.0,,False,False,False,False,False,False
444,154100,99999,1993,2,10,33.9000015259,12,24.6000003815,8.0,1034.69995117,6.0,1024.30004883,8.0,5.59999990463,12.0,1.10000002384,11.0,3.90000009537,,22.6000003815,False,,,0.0,,False,False,False,False,False,False
445,711040,99999,1944,9,5,62.2999992371,15,50.2000007629,15.0,1023.0,15.0,,,27.2999992371,15.0,1.89999997616,15.0,4.09999990463,,42.4000015259,True,,,0.0,,False,False,False,False,False,False
446,722223,13899,2006,1,2,71.5999984741,24,67.1999969482,24.0,1011.70001221,6.0,,,7.09999990463,24.0,13.8999996185,24.0,20.0,26.0,64.0,False,,,0.0299999993294,,False,False,False,False,False,False
447,232740,99999,2004,3,9,-31.0,4,-37.7999992371,4.0,1002.5,4.0,998.099975586,4.0,9.30000019073,4.0,1.0,4.0,3.90000009537,,-37.0999984741,True,,,0.0,30.7000007629,False,False,False,False,False,False
448,723780,99999,1974,6,29,80.0,10,27.8999996185,10.0,,,,,29.7999992371,10.0,5.5,10.0,10.8999996185,,91.0,True,,,0.0,,False,False,False,False,False,False
449,38530,99999,2004,2,4,55.0999984741,24,51.0,24.0,,,,,4.90000009537,24.0,14.3999996185,24.0,22.0,32.0999984741,32.0,False,,,0.159999996424,,False,False,False,False,False,False
450,720315,99999,2008,6,26,83.6999969482,24,57.0,24.0,,,,,9.89999961853,24.0,13.1999998093,24.0,26.0,33.0,68.0,True,,,0.0,,False,False,False,False,False,False
451,725287,4724,1960,5,7,62.4000015259,24,50.7999992371,24.0,1008.20001221,8.0,986.400024414,8.0,5.90000009537,24.0,5.90000009537,24.0,10.1000003815,,57.0,True,,,,,True,True,True,True,True,True
452,945957,99999,2008,1,30,88.6999969482,24,65.9000015259,24.0,,,,,6.5,24.0,4.80000019073,24.0,20.0,,78.8000030518,True,,,0.0,,False,False,False,False,False,False
453,130670,99999,2009,2,20,28.8999996185,5,18.7999992371,5.0,1027.19995117,5.0,1014.09997559,5.0,6.19999980927,5.0,5.40000009537,5.0,7.80000019073,,19.8999996185,False,,,0.0,,False,False,False,False,False,False
454,701620,26508,1953,6,16,51.2000007629,8,41.7000007629,8.0,1013.29998779,8.0,1000.09997559,8.0,9.89999961853,8.0,9.89999961853,8.0,13.0,,43.0,True,,,0.0,,False,False,False,False,False,False
455,704851,99999,1947,7,9,52.0,24,50.5,24.0,1021.29998779,24.0,1016.29998779,24.0,4.19999980927,24.0,16.8999996185,24.0,26.0,,48.4000015259,True,,,,,True,True,True,True,True,True
456,627810,99999,2001,10,15,84.6999969482,6,38.7999992371,6.0,1010.20001221,6.0,948.299987793,6.0,12.0,6.0,4.59999990463,6.0,8.89999961853,,71.5999984741,False,,,0.0,,False,False,False,False,False,False
457,71090,99999,2001,11,11,48.5999984741,16,46.7999992371,16.0,1028.09997559,16.0,1017.90002441,16.0,,,4.5,16.0,8.0,,38.7999992371,True,,,0.0,,False,False,False,False,False,False
458,80750,99999,2005,9,1,71.5999984741,5,54.7999992371,5.0,,,916.900024414,5.0,18.0,5.0,10.8000001907,5.0,19.0,,54.7000007629,False,,,0.0,,False,False,False,False,False,False
459,223650,99999,1988,10,18,40.4000015259,5,32.4000015259,5.0,1011.70001221,5.0,,,14.1999998093,5.0,24.2999992371,4.0,27.2000007629,,38.7999992371,False,,,0.0,,False,False,False,False,False,False
460,64080,99999,2004,8,24,63.5,7,57.9000015259,7.0,1007.90002441,7.0,1006.59997559,7.0,,,15.8000001907,7.0,27.2000007629,,60.2999992371,False,,,0.119999997318,,False,False,False,False,False,False
461,999999,27508,1969,10,22,5.80000019073,4,4.0,4.0,1020.5,4.0,1017.5,4.0,9.89999961853,4.0,5.80000019073,4.0,10.1000003815,,3.90000009537,True,,,0.0,,False,False,False,False,False,False
462,767493,99999,1989,4,5,84.5,11,,,,,,,7.0,11.0,9.69999980927,11.0,9.89999961853,,78.8000030518,True,,,0.0,,False,False,False,False,False,False
463,567510,99999,1998,4,6,57.9000015259,7,44.9000015259,7.0,,,804.799987793,7.0,18.2000007629,7.0,7.19999980927,7.0,13.6000003815,38.9000015259,52.0,True,,,0.019999999553,,False,False,False,False,False,False
464,702746,99999,2006,11,13,6.90000009537,24,-1.39999997616,24.0,,,,,9.80000019073,24.0,5.40000009537,24.0,22.0,33.0,-4.0,False,,,0.0,,False,False,False,False,False,False
